iter	Passed	Remaining
0	0	33
1	0	28
2	0	26
3	1	25
4	1	24
5	1	24
6	1	23
7	2	23
8	2	22
9	2	22
10	2	21
11	3	22
12	3	21
13	3	21
14	3	20
15	3	20
16	4	20
17	4	20
18	4	20
19	4	19
20	5	19
21	5	19
22	5	18
23	5	18
24	6	18
25	6	18
26	6	18
27	6	17
28	7	17
29	7	17
30	7	16
31	7	16
32	8	16
33	8	16
34	8	15
35	8	15
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	14
43	10	13
44	11	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	12
51	12	11
52	13	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	14	9
60	15	9
61	15	9
62	16	9
63	16	9
64	16	8
65	16	8
66	17	8
67	17	8
68	17	7
69	17	7
70	18	7
71	19	7
72	19	7
73	21	7
74	21	7
75	22	6
76	22	6
77	22	6
78	22	6
79	25	6
80	25	5
81	25	5
82	25	5
83	26	5
84	26	4
85	26	4
86	26	4
87	27	3
88	27	3
89	27	3
90	27	2
91	28	2
92	28	2
93	29	1
94	29	1
95	29	1
96	29	0
97	30	0
98	30	0
99	30	0
