iter	Passed	Remaining
0	58	58150
1	58	29283
2	59	19623
3	59	14792
4	59	11893
5	60	9960
6	60	8580
7	60	7531
8	61	6721
9	61	6073
10	61	5544
11	62	5110
12	62	4739
13	62	4421
14	63	4139
15	63	3893
16	63	3675
17	63	3481
18	64	3308
19	64	3154
20	64	3017
21	65	2893
22	65	2780
23	65	2672
24	66	2574
25	66	2484
26	66	2400
27	66	2321
28	67	2248
29	67	2180
30	67	2115
31	67	2053
32	68	1996
33	68	1943
34	68	1892
35	68	1843
36	69	1799
37	69	1756
38	69	1718
39	70	1681
40	70	1646
41	70	1611
42	70	1579
43	71	1547
44	71	1516
45	71	1487
46	72	1460
47	72	1434
48	72	1409
49	72	1385
50	73	1365
51	73	1342
52	73	1320
53	74	1300
54	74	1281
55	74	1262
56	75	1243
57	75	1225
58	75	1208
59	76	1190
60	76	1174
61	76	1158
62	76	1142
63	77	1127
64	77	1112
65	77	1097
66	77	1084
67	78	1070
68	78	1057
69	78	1044
70	78	1032
71	79	1020
72	79	1008
73	79	997
74	80	986
75	80	975
76	80	964
77	80	954
78	80	944
79	81	934
80	81	924
81	81	915
82	81	904
83	82	895
84	82	887
85	82	879
86	83	871
87	83	863
88	83	855
89	83	847
90	84	840
91	84	832
92	84	825
93	85	819
94	85	813
95	85	806
96	85	799
97	86	792
98	86	785
99	86	779
100	87	774
101	87	769
102	87	763
103	87	757
104	88	751
105	88	746
106	88	741
107	89	735
108	89	730
109	89	725
110	89	720
111	90	714
112	90	709
113	90	706
114	91	703
115	91	697
116	91	692
117	91	687
118	92	682
119	92	678
120	92	673
121	92	668
122	93	664
123	93	659
124	93	655
125	93	651
126	94	646
127	94	642
128	94	639
129	94	635
130	95	631
131	95	627
132	95	623
133	95	619
134	96	615
135	96	612
136	96	608
137	96	604
138	97	601
139	97	597
140	97	594
141	97	590
142	97	586
143	98	583
144	98	580
145	98	576
146	98	573
147	99	570
148	99	567
149	99	564
150	99	561
151	100	558
152	100	555
153	100	552
154	100	549
155	101	547
156	101	544
157	101	541
158	101	538
159	102	536
160	102	532
161	102	530
162	102	527
163	102	524
164	103	522
165	103	520
166	103	518
167	104	516
168	104	513
169	104	511
170	105	510
171	105	508
172	105	506
173	106	504
174	106	503
175	106	500
176	107	498
177	107	496
178	107	494
179	108	492
180	108	489
181	108	487
182	108	485
183	108	483
184	109	481
185	109	479
186	109	477
187	110	475
188	110	473
189	110	471
190	110	469
191	111	467
192	111	465
193	111	463
194	111	461
195	112	459
196	112	457
197	112	456
198	113	455
199	113	453
200	113	452
201	114	450
202	114	448
203	114	446
204	114	445
205	115	443
206	115	441
207	115	440
208	115	438
209	116	436
210	116	435
211	116	433
212	116	431
213	117	430
214	117	428
215	117	427
216	117	425
217	118	424
218	118	422
219	118	421
220	119	419
221	119	417
222	119	416
223	119	415
224	120	413
225	120	412
226	120	410
227	120	409
228	121	407
229	121	406
230	121	404
231	121	403
232	122	402
233	122	400
234	122	399
235	122	397
236	123	396
237	123	395
238	123	393
239	123	392
240	124	391
241	124	389
242	124	388
243	124	387
244	125	385
245	125	384
246	125	383
247	125	381
248	126	380
249	126	379
250	126	378
251	127	377
252	127	375
253	127	374
254	127	373
255	128	372
256	128	371
257	128	369
258	128	368
259	129	367
260	129	366
261	129	365
262	129	364
263	130	362
264	130	361
265	130	360
266	130	359
267	131	358
268	131	357
269	131	356
270	131	354
271	132	353
272	132	352
273	132	351
274	132	350
275	133	349
276	133	348
277	133	347
278	134	346
279	134	345
280	134	344
281	134	343
282	135	342
283	135	341
284	135	340
285	135	339
286	136	338
287	136	337
288	136	336
289	137	335
290	137	334
291	137	333
